prompt_id,input_tokens,output_tokens,runtime_seconds,energy_joules
1.0,9,59,2.5091428756713867,466.637
2.0,7,57,1.7765884399414062,375.789
3.0,8,58,1.7785162925720217,349.9335
4.0,8,58,1.764829397201538,363.991
5.0,13,63,1.7550010681152344,355.4875
6.0,9,59,2.017898797988892,401.757
7.0,7,57,1.4031846523284912,287.5225
8.0,8,58,1.409388303756714,280.67650000000003
9.0,8,58,1.4177954196929932,219.632
10.0,13,63,1.4169905185699463,268.962
11.0,7,57,1.4044528007507324,289.3845
12.0,13,63,1.4981791973114014,290.141
13.0,22,72,1.4549202919006348,280.951
14.0,9,59,1.430316925048828,263.175
15.0,11,61,1.6836259365081787,356.5915
16.0,7,57,1.5106768608093262,286.038
17.0,7,19,0.3847577571868896,84.863
18.0,16,66,1.7910771369934082,311.9605
19.0,9,59,1.511507272720337,346.50350000000003
20.0,13,63,1.5159809589385986,325.993
21.0,14,64,1.4044194221496582,249.0225
22.0,9,59,1.4390506744384766,295.2405
23.0,10,60,1.477832317352295,276.748
24.0,13,63,1.4083056449890137,288.2605
25.0,15,40,0.7234127521514893,162.079
26.0,6,56,1.6128747463226318,394.1595
27.0,16,66,1.523515701293945,380.3795
28.0,8,58,1.6132619380950928,307.048
29.0,7,57,1.619575262069702,393.5885
30.0,10,60,1.4875881671905518,264.3095
31.0,11,61,1.5359516143798828,297.918
32.0,9,59,1.4840874671936035,266.6385
33.0,11,61,1.6652894020080566,348.137
34.0,10,60,1.6981594562530518,362.737
35.0,14,64,1.6684198379516602,337.3515
36.0,12,62,1.720766544342041,331.188
37.0,8,34,0.8662078380584717,175.899
38.0,15,65,1.5340371131896973,386.6105
39.0,10,60,1.553406000137329,386.0595
40.0,12,62,1.561962604522705,302.40099999999995
41.0,16,48,0.991980791091919,159.962
42.0,10,60,1.4327924251556396,226.29700000000005
43.0,9,59,1.5502188205718994,306.07500000000005
44.0,13,63,1.451178789138794,257.342
45.0,11,61,1.3597743511199951,290.232
46.0,9,59,1.446453094482422,281.1535
47.0,9,59,1.4341068267822266,255.377
48.0,11,61,1.511749505996704,318.089
49.0,9,59,1.517488956451416,323.13550000000004
50.0,23,73,1.4323208332061768,277.1105
51.0,9,59,1.52122163772583,388.226
52.0,11,61,1.5765838623046875,393.517
53.0,8,58,1.461808681488037,234.726
54.0,7,57,1.4663424491882324,268.88
55.0,8,58,1.395972490310669,247.5655
56.0,11,60,1.4400537014007568,274.036
57.0,10,60,1.4715161323547363,214.3305
58.0,10,60,1.3612871170043943,269.073
59.0,10,60,1.4441359043121338,264.615
60.0,18,68,1.4761362075805664,265.356
61.0,17,67,1.401824712753296,286.986
62.0,9,59,1.4552106857299805,242.4355
63.0,11,45,1.031501293182373,269.1685
64.0,7,57,1.5987768173217771,337.4825
65.0,11,29,0.6809558868408203,191.8325
66.0,11,61,1.4299445152282717,234.2815
67.0,10,39,0.853642463684082,200.7195
68.0,9,59,1.6370422840118408,355.75
69.0,11,35,1.1073296070098877,252.3755
70.0,10,60,1.911245584487915,339.542
71.0,14,64,2.0302696228027344,419.487
72.0,11,61,1.8383324146270752,334.8945
73.0,8,58,1.9598956108093264,377.3435
74.0,9,59,2.106957197189331,431.351
75.0,9,59,2.034944534301758,409.5990000000001
76.0,9,59,2.1457481384277344,443.335
77.0,10,60,2.039231061935425,442.725
78.0,7,57,1.558027267456055,352.945
79.0,13,63,1.9593136310577397,383.963
80.0,8,58,1.4268395900726318,286.67650000000003
81.0,8,58,1.5348296165466309,331.53650000000005
